  UID     PID    PPID %MEM CMD
 1000    1980    1214  0.2     /usr/libexec/gnome-shell-calendar-server
 1000    1986    1214  0.2     /usr/libexec/evolution-source-registry
 1000    1995    1214  0.2     /usr/libexec/evolution-calendar-factory
 1000    2003    1214  0.1     /usr/libexec/dconf-service
 1000    2008    1214  0.2     /usr/libexec/evolution-addressbook-factory
 1000    2045    1214  0.1     /usr/libexec/gsd-a11y-settings
 1000    2046    1214  0.3     /usr/libexec/gsd-color
 1000    2047    1214  0.1     /usr/libexec/gsd-datetime
 1000    2048    1214  0.1     /usr/libexec/gsd-housekeeping
 1000    2049    1214  0.2     /usr/libexec/gsd-keyboard
 1000    2050    1214  0.2     /usr/libexec/gsd-media-keys
 1000    2051    1214  0.2     /usr/libexec/gsd-power
 1000    2052    1214  0.2     /usr/libexec/gsd-print-notifications
 1000    2054    1214  0.1     /usr/libexec/gsd-rfkill
 1000    2055    1214  0.1     /usr/libexec/gsd-screensaver-proxy
 1000    2056    1214  0.1     /usr/libexec/gsd-sharing
 1000    2057    1214  0.1     /usr/libexec/gsd-smartcard
 1000    2058    1214  0.1     /usr/libexec/gsd-sound
 1000    2059    1214  0.1     /usr/libexec/gsd-usb-protection
 1000    2060    1214  0.2     /usr/libexec/gsd-wacom
 1000    2061    1214  0.1     /usr/libexec/gsd-wwan
 1000    2062    1214  0.2     /usr/libexec/gsd-xsettings
 1000    2148    1214  0.1     /usr/libexec/gsd-printer
 1000    2550    1214  0.1     /usr/libexec/gvfsd-metadata
 1000    2997    1214  0.2     /usr/libexec/xdg-desktop-portal
 1000    3001    1214  0.1     /usr/libexec/xdg-document-portal
 1000    3010    1214  0.5     /usr/libexec/xdg-desktop-portal-gtk
 1000  253375    1214  7.8     /usr/bin/gnome-shell
 1000  253391  253375  0.1       ibus-daemon --panel disable --xim
 1000  253395  253391  0.1         /usr/libexec/ibus-memconf
 1000  253396  253391  0.2         /usr/libexec/ibus-extension-gtk3
 1000  253427  253391  0.1         /usr/libexec/ibus-engine-simple
 1000  268514  253375  0.7       rhythmbox
 1000  253400    1214  0.2     /usr/libexec/ibus-x11 --kill-daemon
 1000  253404    1214  0.1     /usr/libexec/ibus-portal
 1000  253417    1214  0.1     /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
 1000  253481    1214 17.0     /usr/lib/firefox/firefox -new-window
 1000  253526  253481  0.3       /usr/lib/firefox/firefox -contentproc -parentBuildID 20220718155818 -prefsLen 25488 -prefMapSize 223113 -appDir /usr/lib/firefox/browser 253481 socket
 1000  253586  253481  2.3       /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 25629 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  253628  253481  0.6       /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 30087 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  253753  253481  0.2       /usr/lib/firefox/firefox -contentproc -parentBuildID 20220718155818 -prefsLen 30946 -prefMapSize 223113 -appDir /usr/lib/firefox/browser 253481 rdd
 1000  253862  253481  0.2       /usr/lib/firefox/firefox -contentproc -parentBuildID 20220718155818 -sandboxingKind 1 -prefsLen 30946 -prefMapSize 223113 -appDir /usr/lib/firefox/browser 253481 utility
 1000  253893  253481  2.3       /usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 30946 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  587467  253481  1.7       /usr/lib/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 31106 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  590612  253481  3.4       /usr/lib/firefox/firefox -contentproc -childID 23 -isForBrowser -prefsLen 31106 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  590648  253481  2.5       /usr/lib/firefox/firefox -contentproc -childID 25 -isForBrowser -prefsLen 31106 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  590650  253481 12.4       /usr/lib/firefox/firefox -contentproc -childID 26 -isForBrowser -prefsLen 31106 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  671141  253481  0.5       /usr/lib/firefox/firefox -contentproc -childID 27 -isForBrowser -prefsLen 31109 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  671144  253481  0.5       /usr/lib/firefox/firefox -contentproc -childID 28 -isForBrowser -prefsLen 31109 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  671148  253481  0.5       /usr/lib/firefox/firefox -contentproc -childID 29 -isForBrowser -prefsLen 31109 -prefMapSize 223113 -jsInitLen 267752 -parentBuildID 20220718155818 -appDir /usr/lib/firefox/browser 253481 tab
 1000  268512    1214  0.3     /usr/bin/gnome-calendar --gapplication-service
 1000  480310    1214  0.2     /usr/bin/seahorse --gapplication-service
 1000  480314    1214  1.2     /usr/libexec/gnome-terminal-server
 1000  480386  480314  0.1       bash
 1000  484930  480314  0.1       bash
 1000  832580  484930  0.1         ps -eH --format uid,pid,ppid,%mem,cmd
 1000  802270    1214  1.0     /usr/libexec/gnome-shell-portal-helper
 1000  802286  802270  0.4       /usr/lib/aarch64-linux-gnu/webkit2gtk-4.0/WebKitNetworkProcess 1 14
 1000  802290  802270  0.0       /usr/bin/bwrap --args 23 -- /usr/bin/xdg-dbus-proxy --args=20
 1000  802293  802290  0.0         /usr/bin/bwrap --args 23 -- /usr/bin/xdg-dbus-proxy --args=20
 1000  802295  802293  0.1           /usr/bin/xdg-dbus-proxy --args=20
 1000  802297  802270  0.0       /usr/bin/bwrap --args 24 -- /usr/bin/xdg-dbus-proxy --args=21
 1000  802298  802297  0.0         /usr/bin/bwrap --args 24 -- /usr/bin/xdg-dbus-proxy --args=21
 1000  802299  802298  0.1           /usr/bin/xdg-dbus-proxy --args=21
